ort,plz,landkreis
Aßlar,35614,Lahn-Dill-Kreis
Aßling,85617,Landkreis Ebersberg
Astert,57627,Westerwaldkreis
Attendorn,57439,Kreis Olpe
Attenhausen,56370,Rhein-Lahn-Kreis
Attenhofen,84091,Landkreis Kelheim
Attenkirchen,85395,Landkreis Freising
Attenweiler,88448,Landkreis Biberach
Atting,94348,Landkreis Straubing-Bogen
Atzelgift,57629,Westerwaldkreis
Au,79280,Landkreis Breisgau-Hochschwarzwald
Au am Rhein,76474,Landkreis Rastatt
Aub,97239,Landkreis Würzburg
Aubstadt,97633,Landkreis Rhön-Grabfeld
Auderath,56766,Landkreis Cochem-Zell
Aue,08280,Erzgebirgskreis
Auel,56357,Rhein-Lahn-Kreis
Auen,55569,Landkreis Bad Kreuznach
Auengrund,98673,Landkreis Hildburghausen
Auenwald,71549,Rems-Murr-Kreis
Auerbach,08209,Vogtlandkreis
Auerbach,09392,Erzgebirgskreis
Auerbach,94530,Landkreis Deggendorf
Auerbach in der Oberpfalz,91275,Landkreis Amberg-Sulzbach
Auetal,31749,Landkreis Schaumburg
Aufhausen,93089,Landkreis Regensburg
Aufseß,91347,Landkreis Bayreuth
Auggen,79424,Landkreis Breisgau-Hochschwarzwald
Augsburg,86150,
Augsburg,86152,
Augsburg,86153,
Augsburg,86154,
Augsburg,86156,
Augsburg,86157,
Augsburg,86159,
Augsburg,86161,
Augsburg,86163,
Augsburg,86165,
Augsburg,86167,
Augsburg,86169,
Augsburg,86179,
Augsburg,86199,
Augustdorf,32832,Kreis Lippe
Augustusburg,09573,Landkreis Mittelsachsen
Auhagen,31553,Landkreis Schaumburg
Auhausen,86736,Landkreis Donau-Ries
Au in der Hallertau,84072,Landkreis Freising
Aukrug,24613,Kreis Rendsburg-Eckernförde
Aulendorf,88326,Landkreis Ravensburg
Aull,65582,Rhein-Lahn-Kreis
Auma-Weidatal,07955,Landkreis Greiz
Aumühle,21521,Kreis Herzogtum Lauenburg
Aura a.d.Saale,97717,Landkreis Bad Kissingen
Aurach,91589,Landkreis Ansbach
Aurachtal,91086,Landkreis Erlangen-Höchstadt
Aura im Sinngrund,97773,Landkreis Main-Spessart
Aurich,26603,Landkreis Aurich
Aurich,26605,Landkreis Aurich
Aurich,26607,Landkreis Aurich
Ausacker,24975,Kreis Schleswig-Flensburg
Ausleben,39393,Landkreis Börde
Außernzell,94532,Landkreis Deggendorf
Auufer,25548,Kreis Steinburg
Auw an der Kyll,54664,Eifelkreis Bitburg-Prüm
Auw bei Prüm,54597,Eifelkreis Bitburg-Prüm
Aventoft,25927,Kreis Nordfriesland
Averlak,25715,Kreis Dithmarschen
Axstedt,27729,Landkreis Osterholz
Aying,85653,Landkreis München
Ayl,54441,Landkreis Trier-Saarburg
Aystetten,86482,Landkreis Augsburg
Baabe,18586,Landkreis Vorpommern-Rügen
Baar,86674,Landkreis Aichach-Friedberg
Baar,56729,Landkreis Mayen-Koblenz
Baar-Ebenhausen,85107,Landkreis Pfaffenhofen an der Ilm
Babenhausen,64832,Landkreis Darmstadt-Dieburg
Babenhausen,87727,Landkreis Unterallgäu
Babensham,83547,Landkreis Rosenheim
Bach an der Donau,93090,Landkreis Regensburg
Bacharach,55422,Landkreis Mainz-Bingen
Bachenberg,57610,Landkreis Altenkirchen
Bachfeld,96528,Landkreis Sonneberg
Bachhagel,89429,Landkreis Dillingen an der Donau
Bächingen a.d.Brenz,89431,Landkreis Dillingen an der Donau
Backnang,71522,Rems-Murr-Kreis
Bad Abbach,93077,Landkreis Kelheim
Bad Aibling,83043,Landkreis Rosenheim
Bad Alexandersbad,95680,Landkreis Wunsiedel im Fichtelgebirge
Bad Arolsen,34454,Landkreis Waldeck-Frankenberg
Bad Bayersoien,82435,Landkreis Garmisch-Partenkirchen
Bad Bellingen,79415,Landkreis Lörrach
Bad Belzig,14806,Landkreis Potsdam-Mittelmark
Bad Bentheim,48455,Landkreis Grafschaft Bentheim
Badbergen,49635,Landkreis Osnabrück
Bad Bergzabern,76887,Landkreis Südliche Weinstraße
Bad Berka,99438,Landkreis Weimarer Land
Bad Berleburg,57319,Kreis Siegen-Wittgenstein
Bad Berneck im Fichtelgebirge,95460,Landkreis Bayreuth
Bad Bertrich,56864,Landkreis Cochem-Zell
Bad Bevensen,29549,Landkreis Uelzen
Bad Bibra,06647,Burgenlandkreis
Bad Birnbach,84364,Landkreis Rottal-Inn
Bad Blankenburg,07422,Landkreis Saalfeld-Rudolstadt
Bad Bocklet,97708,Landkreis Bad Kissingen
Bad Bodenteich,29389,Landkreis Uelzen
Bad Boll,73087,Landkreis Göppingen
Bad Brambach,08648,Vogtlandkreis
Bad Bramstedt,24576,Kreis Segeberg
Bad Breisig,53498,Landkreis Ahrweiler
Bad Brückenau,97769,Landkreis Bad Kissingen
Bad Buchau,88422,Landkreis Biberach
Bad Camberg,65520,Landkreis Limburg-Weilburg
Bad Colberg-Heldburg,98663,Landkreis Hildburghausen
Baddeckenstedt,38271,Landkreis Wolfenbüttel
Bad Ditzenbach,73312,Landkreis Göppingen
Bad Ditzenbach,73342,Landkreis Göppingen
Bad Ditzenbach,73345,Landkreis Göppingen
Bad Doberan,18209,Landkreis Rostock
Bad Driburg,33014,Kreis Höxter
Bad Düben,04849,Landkreis Nordsachsen
Bad Dürkheim,67098,Landkreis Bad Dürkheim
Bad Dürrenberg,06231,Saalekreis
Bad Dürrheim,78073,Schwarzwald-Baar-Kreis
Bad Eilsen,31707,Landkreis Schaumburg
Bad Elster,08645,Vogtlandkreis
Badem,54657,Eifelkreis Bitburg-Prüm
Bad Ems,56130,Rhein-Lahn-Kreis
Bad Emstal,34308,Landkreis Kassel
Baden-Baden,76530,
Baden-Baden,76532,
Baden-Baden,76534,
Bad Endbach,35080,Landkreis Marburg-Biedenkopf
Badendorf,23619,Kreis Stormarn
Bad Endorf,83093,Landkreis Rosenheim
Badenhard,56291,Rhein-Hunsrück-Kreis
Badenheim,55576,Landkreis Mainz-Bingen
Badenweiler,79410,Landkreis Breisgau-Hochschwarzwald
Bad Essen,49152,Landkreis Osnabrück
Bad Fallingbostel,29683,Landkreis Heidekreis
Bad Feilnbach,83075,Landkreis Rosenheim
Bad Frankenhausen/Kyffhäuser,06567,Kyffhäuserkreis
Bad Freienwalde (Oder),16259,Landkreis Märkisch-Oderland
Bad Friedrichshall,74177,Landkreis Heilbronn
Bad Füssing,94072,Landkreis Passau
Bad Gandersheim,37581,Landkreis Northeim
Bad Gottleuba-Berggießhübel,01816,Landkreis Sächsische Schweiz-Osterzgebirge
Bad Griesbach i.Rottal,94086,Landkreis Passau
Bad Grönenbach,87730,Landkreis Unterallgäu
Bad Grund,37539,Landkreis Göttingen
Bad Harzburg,38667,Landkreis Goslar
Bad Heilbrunn,83670,Landkreis Bad Tölz-Wolfratshausen
Bad Herrenalb,76332,Landkreis Calw
Bad Hersfeld,36251,Landkreis Hersfeld-Rotenburg
Bad Hindelang,87541,Landkreis Oberallgäu
Bad Homburg v. d. Höhe,61348,Hochtaunuskreis
Bad Homburg v. d. Höhe,61350,Hochtaunuskreis
Bad Homburg v. d. Höhe,61352,Hochtaunuskreis
Bad Honnef,53604,Rhein-Sieg-Kreis
Bad Hönningen,53547,Landkreis Neuwied
Bad Hönningen,53557,Landkreis Neuwied
Bad Iburg,49186,Landkreis Osnabrück
Bad Karlshafen,34385,Landkreis Kassel
Bad Kissingen,97688,Landkreis Bad Kissingen
Bad Kleinen,23996,Landkreis Nordwestmecklenburg
Bad Klosterlausnitz,07639,Saale-Holzland-Kreis
Bad Kohlgrub,82433,Landkreis Garmisch-Partenkirchen
Bad König,64732,Odenwaldkreis
Bad Königshofen im Grabfeld,97631,Landkreis Rhön-Grabfeld
Bad Köstritz,07586,Landkreis Greiz
Bad Kötzting,93444,Landkreis Cham
Bad Kreuznach,55543,Landkreis Bad Kreuznach
Bad Kreuznach,55545,Landkreis Bad Kreuznach
Bad Kreuznach,55583,Landkreis Bad Kreuznach
Bad Krozingen,79189,Landkreis Breisgau-Hochschwarzwald
Bad Laasphe,57334,Kreis Siegen-Wittgenstein
Bad Laer,49196,Landkreis Osnabrück
Bad Langensalza,99947,Unstrut-Hainich-Kreis
Bad Lausick,04651,Landkreis Leipzig
Bad Lauterberg,37431,Landkreis Göttingen
Bad Liebenstein,36448,Wartburgkreis
Bad Liebenwerda,04895,Landkreis Elbe-Elster
Bad Liebenwerda,04924,Landkreis Elbe-Elster
Bad Liebenwerda,04931,Landkreis Elbe-Elster
Bad Liebenzell,75378,Landkreis Calw
Bad Lippspringe,33175,Kreis Paderborn
Bad Lobenstein,07356,Saale-Orla-Kreis
Bad Marienberg (Westerwald),56470,Westerwaldkreis
Bad Mergentheim,97980,Main-Tauber-Kreis
Bad Münder am Deister,31848,Landkreis Hameln-Pyrmont
Bad Münstereifel,53902,Kreis Euskirchen
Bad Muskau,02953,Landkreis Görlitz
Bad Nauheim,61231,Wetteraukreis
Bad Nenndorf,31542,Landkreis Schaumburg
Bad Neuenahr-Ahrweiler,53474,Landkreis Ahrweiler
